Patrón,Noun1,Noun2,Noun3,Adj,Lema Noun1,Lema Noun2,Lema Noun3,Lema Adj,Lema del Patrón,Patrón en Glosario,Noun1 en Glosario,Noun2 en Glosario,Noun3 en Glosario,N+Adj en Glosario,Sufijo Noun1,Adj. en lista específica,Estado,Contexto
días a la fecha de su efectividad,días,fecha,efectividad,,día,fecha,efectividad,,día a la fecha de su efectividad,No,No,No,No,No,No,No,No encontrado,"treinta días a la fecha de su efectividad. Notificada la decisión de traslado, el trabajador días a la fecha de su efectividad percibiendo una compensación por gastos, o la extinción de su contrato, percibiendo una"
interlocutores ante la dirección de la empresa,interlocutores,dirección,empresa,,interlocutor,dirección,empresa,,interlocutor ante la dirección de la empresa,No,No,No,Sí,No,No,No,Parcialmente encontrado,"estos efectos, la dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores interlocutores ante la dirección de la empresa iniciar el procedimiento. El plazo máximo para la constitución de la comisión representativa"
dirección de la empresa en el procedimiento,dirección,empresa,procedimiento,,dirección,empresa,procedimiento,,dirección de la empresa en el procedimiento,No,No,Sí,Sí,No,Sí,No,Parcialmente encontrado,dirección de la empresa deberá comunicar de manera fehaciente a los trabajadores o a sus dirección de la empresa en el procedimiento El plazo máximo para la constitución de la comisión representativa será de siete
posiciones de las partes tras su conclusión,posiciones,partes,conclusión,,posición,parte,conclusión,,posición de las parte tras su conclusión,No,No,Sí,No,No,No,No,Parcialmente encontrado,"que, en ambos casos, representen a la mayoría de los trabajadores del centro o centros posiciones de las partes tras su conclusión periodo de consultas el empresario notificará a los trabajadores su decisión sobre el"
vistas a la consecución de un acuerdo,vistas,consecución,acuerdo,,visto,consecución,acuerdo,,visto a la consecución de un acuerdo,No,No,No,Sí,No,No,No,Parcialmente encontrado,"el traslado, que se regirá a todos los efectos por lo dispuesto en el apartado vistas a la consecución de un acuerdo refiere el presente apartado se podrá reclamar en conflicto colectivo, sin perjuicio de"
conformidad de la mayoría de los representantes legales,conformidad,mayoría,representantes,legales,conformidad,mayoría,representante,legal,conformidad de la mayoría de los representante legal,No,Sí,Sí,Sí,No,No,No,Parcialmente encontrado,en el apartado 1. Contra las decisiones a que se refiere el presente apartado se conformidad de la mayoría de los representantes legales de la acción individual prevista en el apartado 1. La interposición del conflicto
mayoría de los miembros de la comisión representativa,mayoría,miembros,comisión,representativa,mayoría,miembro,comisión,representativo,mayoría de los miembro de la comisión representativo,No,Sí,No,Sí,No,No,No,Parcialmente encontrado,"colectivo, sin perjuicio de la acción individual prevista en el apartado 1. La interposición del mayoría de los miembros de la comisión representativa individuales iniciadas, hasta su resolución. El acuerdo con los representantes de los trabajadores"
acuerdo con los representantes de los trabajadores,acuerdo,representantes,trabajadores,,acuerdo,representante,trabajador,,acuerdo con los representante de los trabajador,No,Sí,Sí,Sí,No,No,No,Parcialmente encontrado,"periodo. 3. Si por traslado uno de los cónyuges cambia de residencia, el otro, si acuerdo con los representantes de los trabajadores derecho al traslado a la misma localidad, si hubiera puesto de trabajo. 4."
representantes de los trabajadores en el periodo,representantes,trabajadores,periodo,,representante,trabajador,periodo,,representante de los trabajador en el periodo,No,Sí,Sí,No,No,No,No,Parcialmente encontrado,"por traslado uno de los cónyuges cambia de residencia, el otro, si fuera trabajador de representantes de los trabajadores en el periodo a la misma localidad, si hubiera puesto de trabajo. 4. Las personas trabajadoras"
aplicación en el ámbito de la empresa,aplicación,ámbito,empresa,,aplicación,ámbito,empresa,,aplicación en el ámbito de la empresa,No,Sí,No,Sí,No,Sí,No,Parcialmente encontrado,"sus servicios, para hacer efectiva su protección o su derecho a la asistencia social integral, aplicación en el ámbito de la empresa de trabajo, del mismo grupo profesional o categoría equivalente, que la empresa tenga"
